movie,url,mrating,drating,ts,date,month,month,movie_year
超时空接触 Contact (1997),http://movie.douban.com/subject/1295647/,5.2,8.3,1/1/2015 5:09:26,1/1/2015,0.5,1,1997
恐怖游轮 Triangle (2009),http://movie.douban.com/subject/3011051/,5.2,8.3,1/4/2015 17:41:45,1/4/2015,0.5,1,2009
花样年华 花樣年華 (2000),http://movie.douban.com/subject/1291557/,5.1,8.3,1/4/2015 13:27:42,1/4/2015,0.5,1,2000
魁拔Ⅲ战神崛起 (2014),http://movie.douban.com/subject/24723061/,5,8,1/4/2015 13:23:52,1/4/2015,0.5,1,2014
亲爱的 (2014),http://movie.douban.com/subject/25798222/,5.2,8.4,1/8/2015 17:54:00,1/8/2015,0.5,1,2014
模仿游戏 The Imitation Game (2014),http://movie.douban.com/subject/10463953/,5,8.6,1/11/2015 6:51:44,1/11/2015,0.5,1,2014
莉拉 Lila (2014),http://movie.douban.com/subject/25876115/,5,8.5,1/13/2015 12:14:46,1/13/2015,0.5,1,2014
少年时代 Boyhood (2014),http://movie.douban.com/subject/2209575/,4,8.5,1/21/2015 16:46:43,1/21/2015,0.5,1,2014
鸟人 Birdman (2014),http://movie.douban.com/subject/20438962/,4,7.9,1/25/2015 15:46:44,1/25/2015,0.5,1,2014
寿司之神 二郎は鮨の夢を見る (2011),http://movie.douban.com/subject/6146955/,4,8.8,1/25/2015 12:09:14,1/25/2015,0.5,1,2011
游客 Turist (2014),http://movie.douban.com/subject/7155005/,4,7.4,2/1/2015 15:29:46,2/1/2015,1.5,2,2014
在伯克利 At Berkeley (2013),http://movie.douban.com/subject/24875622/,4,7.8,2/8/2015 15:39:37,2/8/2015,1.5,2,2013
万物理论 The Theory of Everything (2014),http://movie.douban.com/subject/24815950/,5,8,2/8/2015 15:38:22,2/8/2015,1.5,2,2014
月神 La Luna (2011),http://movie.douban.com/subject/6313765/,5,9,2/14/2015 2:52:35,2/14/2015,1.5,2,2011
梦之安魂曲 Requiem for a Dream (2000),http://movie.douban.com/subject/1292270/,5,8.7,2/15/2015 17:08:45,2/15/2015,1.5,2,2000
歌曲改变人生 Begin Again (2013),http://movie.douban.com/subject/6874403/,5,8.5,2/15/2015 15:06:31,2/15/2015,1.5,2,2013
美味盛宴 Feast (2014),http://movie.douban.com/subject/25955872/,4,8.2,3/10/2015 12:26:05,3/10/2015,2.5,3,2014
超级维纳斯 Supervenus (2014),http://movie.douban.com/subject/25972855/,4,8.2,3/10/2015 12:11:46,3/10/2015,2.5,3,2014
自杀热线 The Phone Call (2013),http://movie.douban.com/subject/25767503/,4,7.6,3/10/2015 11:59:55,3/10/2015,2.5,3,2013
普罗旺斯的夏天 Avis de mistral (2014),http://movie.douban.com/subject/25858604/,5,8.2,3/19/2015 16:23:28,3/19/2015,2.5,3,2014
曾经 Once (2006),http://movie.douban.com/subject/2053515/,5,8.4,3/21/2015 15:48:56,3/21/2015,2.5,3,2006
裂缝 Cracks (2009),http://movie.douban.com/subject/3007817/,4,7.9,3/21/2015 13:28:54,3/21/2015,2.5,3,2009
沉默的羔羊 The Silence of the Lambs (1991),http://movie.douban.com/subject/1293544/,4,8.7,4/5/2015 14:42:05,4/5/2015,3.5,4,1991
盲山 (2007),http://movie.douban.com/subject/2063528/,5,8.1,4/12/2015 16:52:48,4/12/2015,3.5,4,2007
盲井 (2003),http://movie.douban.com/subject/1307528/,4,8.6,4/12/2015 14:25:22,4/12/2015,3.5,4,2003
永生之酒 バッカーノ！ (2007),http://movie.douban.com/subject/3326764/,5,9,4/12/2015 6:15:50,4/12/2015,3.5,4,2007
银河系漫游指南 The Hitchhiker's Guide to the Galaxy (2005),http://movie.douban.com/subject/1292267/,5,8.1,4/26/2015 15:29:24,4/26/2015,3.5,4,2005
闯入者 (2014),http://movie.douban.com/subject/20514902/,4,7.8,4/29/2015 12:08:46,4/29/2015,3.5,4,2014
黄金罗盘 The Golden Compass (2007),http://movie.douban.com/subject/1585146/,4,6.4,4/30/2015 11:56:01,4/30/2015,3.5,4,2007
十七岁的单车 (2001),http://movie.douban.com/subject/1291847/,4,7.7,5/1/2015 17:48:47,5/1/2015,4.5,5,2001
塞尔玛 Selma (2014),http://movie.douban.com/subject/3089638/,4,7.2,5/6/2015 18:47:25,5/6/2015,4.5,5,2014
